"","algorithm","file_id","effect_size","p_value","mean","median"
"1","nsga3","activemq-5.0.0",0,NA,4,4
"2","DT","activemq-5.0.0",-1,4.29110078526516e-10,6.5,6.5
"3","DT_SMOTE","activemq-5.0.0",-1,2.89773150672166e-10,19,19
"4","FFT","activemq-5.0.0",1,1.7213066497735e-10,3,3
"5","FFT_SMOTE","activemq-5.0.0",0,NA,4,4
"6","nsga3","activemq-5.1.0",0,NA,4,4
"7","DT","activemq-5.1.0",-1,2.89773150672166e-10,5,5
"8","DT_SMOTE","activemq-5.1.0",-1,4.70465622344904e-10,26.5,26.5
"9","FFT","activemq-5.1.0",1,1.7213066497735e-10,3,3
"10","FFT_SMOTE","activemq-5.1.0",0,NA,4,4
"11","nsga3","activemq-5.2.0",0,NA,4,4
"12","DT","activemq-5.2.0",-1,1.59379116880663e-05,6,6
"13","DT_SMOTE","activemq-5.2.0",-1,1.59379116880663e-05,22,22
"14","FFT","activemq-5.2.0",0,NA,4,4
"15","FFT_SMOTE","activemq-5.2.0",1,9.35884195565616e-06,2,2
"16","nsga3","activemq-5.3.0",0,NA,4,4
"17","DT","activemq-5.3.0",-1,1.59379116880663e-05,15,15
"18","DT_SMOTE","activemq-5.3.0",-1,1.59379116880663e-05,25,25
"19","FFT","activemq-5.3.0",1,9.35884195565616e-06,2,2
"20","FFT_SMOTE","activemq-5.3.0",0,NA,4,4
"21","nsga3","derby-10.2.1.6",0,NA,4,4
"22","DT","derby-10.2.1.6",-1,2.72270004296059e-05,7,7
"23","DT_SMOTE","derby-10.2.1.6",-1,2.72270004296059e-05,13,13
"24","FFT","derby-10.2.1.6",0,NA,4,4
"25","FFT_SMOTE","derby-10.2.1.6",1,1.59697097090889e-05,2,2
"26","nsga3","derby-10.3.1.4",0,NA,4,4
"27","DT","derby-10.3.1.4",-1,9.35884195565616e-06,14,14
"28","DT_SMOTE","derby-10.3.1.4",-1,9.35884195565616e-06,16,16
"29","FFT","derby-10.3.1.4",0,NA,4,4
"30","FFT_SMOTE","derby-10.3.1.4",1,5.5012722930809e-06,2,2
"31","nsga3","groovy-1_5_7",0,NA,4,4
"32","DT","groovy-1_5_7",0.8,1.51911330635661e-05,2.3,2
"33","DT_SMOTE","groovy-1_5_7",-1,5.00469513679344e-08,18,18
"34","FFT","groovy-1_5_7",1,2.96211233475159e-08,2,2
"35","FFT_SMOTE","groovy-1_5_7",1,2.96211233475159e-08,3,3
"36","nsga3","groovy-1_6_BETA_1",0,NA,4,4
"37","DT","groovy-1_6_BETA_1",1,2.89773150672166e-10,3,3
"38","DT_SMOTE","groovy-1_6_BETA_1",-1,4.0339029146775e-10,19.1,20
"39","FFT","groovy-1_6_BETA_1",1,1.7213066497735e-10,3,3
"40","FFT_SMOTE","groovy-1_6_BETA_1",1,1.7213066497735e-10,3,3
"41","nsga3","hbase-0.94.0",0,NA,4,4
"42","DT","hbase-0.94.0",1,1.59379116880663e-05,3,3
"43","DT_SMOTE","hbase-0.94.0",-1,4.55059681513183e-05,41.6,42
"44","FFT","hbase-0.94.0",0,NA,4,4
"45","FFT_SMOTE","hbase-0.94.0",0,NA,4,4
"46","nsga3","hbase-0.95.0",0,NA,4,4
"47","DT","hbase-0.95.0",-1,3.28993680586492e-05,6.6,6
"48","DT_SMOTE","hbase-0.95.0",-1,1.59379116880663e-05,28,28
"49","FFT","hbase-0.95.0",1,9.35884195565616e-06,2,2
"50","FFT_SMOTE","hbase-0.95.0",1,9.35884195565616e-06,3,3
"51","nsga3","hive-0.10.0",0,NA,4,4
"52","DT","hive-0.10.0",1,2.89773150672166e-10,2,2
"53","DT_SMOTE","hive-0.10.0",-1,2.89773150672166e-10,28,28
"54","FFT","hive-0.10.0",0,NA,4,4
"55","FFT_SMOTE","hive-0.10.0",1,1.7213066497735e-10,2,2
"56","nsga3","hive-0.9.0",0,NA,4,4
"57","DT","hive-0.9.0",-1,2.89773150672166e-10,9,9
"58","DT_SMOTE","hive-0.9.0",-1,3.73198071593475e-10,32.4,31
"59","FFT","hive-0.9.0",1,1.7213066497735e-10,2,2
"60","FFT_SMOTE","hive-0.9.0",1,1.7213066497735e-10,2,2
"61","nsga3","jruby-1.1",0,NA,4,4
"62","DT","jruby-1.1",-1,2.89773150672166e-10,7,7
"63","DT_SMOTE","jruby-1.1",-1,4.29110078526516e-10,20.5,20.5
"64","FFT","jruby-1.1",1,1.7213066497735e-10,3,3
"65","FFT_SMOTE","jruby-1.1",1,1.7213066497735e-10,3,3
"66","nsga3","jruby-1.4.0",0,NA,4,4
"67","DT","jruby-1.4.0",1,2.89773150672166e-10,2,2
"68","DT_SMOTE","jruby-1.4.0",-1,4.67600836232738e-10,44.9,54
"69","FFT","jruby-1.4.0",1,1.7213066497735e-10,2,2
"70","FFT_SMOTE","jruby-1.4.0",1,1.7213066497735e-10,3,3
"71","nsga3","jruby-1.5.0",0,NA,4,4
"72","DT","jruby-1.5.0",-1,2.89773150672166e-10,7,7
"73","DT_SMOTE","jruby-1.5.0",-1,3.34349393530113e-10,17.2,15
"74","FFT","jruby-1.5.0",0,NA,4,4
"75","FFT_SMOTE","jruby-1.5.0",1,1.7213066497735e-10,3,3
"76","nsga3","lucene-2.3.0",-2.78097857242532e-18,1,4.1,4
"77","DT","lucene-2.3.0",-0.9,9.66051900821123e-05,5,5
"78","DT_SMOTE","lucene-2.3.0",-1,2.42817473247548e-05,12,12
"79","FFT","lucene-2.3.0",0.1,0.340355742385202,4,4
"80","FFT_SMOTE","lucene-2.3.0",1,1.37637837404312e-05,3,3
"81","nsga3","lucene-2.9.0",0,NA,4,4
"82","DT","lucene-2.9.0",-1,2.89773150672166e-10,7,7
"83","DT_SMOTE","lucene-2.9.0",-1,4.63333106738954e-10,29.1,29
"84","FFT","lucene-2.9.0",1,1.7213066497735e-10,3,3
"85","FFT_SMOTE","lucene-2.9.0",1,1.7213066497735e-10,3,3
"86","nsga3","lucene-3.0.0",0,NA,4,4
"87","DT","lucene-3.0.0",-1,2.89773150672166e-10,5,5
"88","DT_SMOTE","lucene-3.0.0",-1,4.0339029146775e-10,37.7,38
"89","FFT","lucene-3.0.0",1,1.7213066497735e-10,2,2
"90","FFT_SMOTE","lucene-3.0.0",0,NA,4,4
"91","nsga3","wicket-1.3.0-beta2",1.79068229778251e-18,1,4.03225806451613,4
"92","DT","wicket-1.3.0-beta2",0.8,1.24431000791118e-06,4,2
"93","DT_SMOTE","wicket-1.3.0-beta2",-1,1.63521839939016e-09,42.5,42.5
"94","FFT","wicket-1.3.0-beta2",1,6.14597826229199e-10,2,2
"95","FFT_SMOTE","wicket-1.3.0-beta2",0.032258064516129,0.588142076714406,4,4
"96","nsga3","wicket-1.3.0-incubating-beta-1",0,NA,4,4
"97","DT","wicket-1.3.0-incubating-beta-1",0,NA,4,4
"98","DT_SMOTE","wicket-1.3.0-incubating-beta-1",-1,2.89773150672166e-10,27,27
"99","FFT","wicket-1.3.0-incubating-beta-1",1,1.7213066497735e-10,3,3
"100","FFT_SMOTE","wicket-1.3.0-incubating-beta-1",1,1.7213066497735e-10,3,3
"101","nsga3","all",-3.93403812046576e-19,1,4.00431965442765,4
"102","DT","all",-0.369114470842333,4.04325977717763e-21,6.02,6
"103","DT_SMOTE","all",-1,4.21662779685549e-139,25.975,25
"104","FFT","all",0.651511879049676,5.06177092907241e-83,3,3
"105","FFT_SMOTE","all",0.701295896328294,5.72724319125286e-91,3.05,3
